titulo,popularidade,nota_media,generos
A Mosca da Cabeça Branca,3.8829,7.012,"Ficção científica, Terror, Drama"
O Contador de Cartas,3.8828,6.124,"Drama, Thriller, Crime"
ＳＥＸダイナマイト　マドンナのしずく,3.8827,4.5,Drama
부자의 교환섹스,3.8825,7.7,Drama
Revelações,3.8825,5.998,"Drama, Romance"
O Entardecer de uma Estrela,3.8825,6.056,"Romance, Drama, Comédia"
Titanic II,3.8816,4.9,"Aventura, Romance, Thriller, Ação"
A Noite é Delas,3.8816,5.679,"Drama, Comédia"
A História Sem Fim 3,3.8814,4.463,"Aventura, Fantasia, Comédia, Família"
Meu Primeiro Amor,3.8814,7.407,"Comédia, Drama"
Le Jour J,3.8808,0.0,Comédia
야생동물 보호구역,3.8804,5.9,"Drama, Crime, Comédia"
轻于鸿毛,3.88,0.0,"Romance, Drama"
Crise,3.8788,6.284,"Crime, Drama, Thriller"
True North,3.8787,0.0,Documentário
Um Jogo Legendário,3.8784,5.6,"Comédia, Terror, Fantasia, Aventura"
소나기,3.8783,6.4,"Drama, Romance"
Testemunha Inocente,3.8778,7.81,Drama
A Agenda Secreta do Meu Namorado,3.8774,5.3,"Romance, Drama, Comédia"
스와핑: 내 아내의 친구,3.8768,3.0,Romance
Soldado Universal: O Retorno,3.8763,5.9,"Ação, Ficção científica"
Signs of Life,3.8759,6.0,Drama
Lone Star - A Estrela Solitária,3.8756,7.0,"Romance, Drama, Mistério"
어우동: 주인없는 꽃,3.8755,5.6,"Drama, Thriller, História"
O Comando 10 de Navarone,3.8752,6.2,"Drama, Aventura, Guerra"
D.A.R.Y.L.,3.8751,6.408,"Ação, Ficção científica, Família"
Mong & Lóide,3.8748,6.795,Comédia
Um Ato de Liberdade,3.8746,6.845,"História, Drama, Guerra, Ação"
Escape Room 2: Tensão Máxima,3.8745,6.528,"Mistério, Terror, Thriller"
Amor Sem Fim,3.8743,5.7,"Drama, Romance"
Surpresa em Dobro,3.874,5.5,"Família, Comédia"
O Clube de Leitura de Jane Austen,3.8737,6.5,"Romance, Comédia"
Lee,3.8733,7.056,"Drama, Guerra, História"
Sindicato de Ladrões,3.8732,7.881,"Drama, Romance, Crime"
소설 속 주인공 처럼 하고 싶어,3.8731,7.6,Drama
InuYasha 4: Fogo na Ilha Mística,3.873,7.5,"Animação, Fantasia, Aventura"
Amores Brutos,3.872,7.631,"Thriller, Drama"
O Dragão Dourado e a Serpente de Prata,3.872,6.3,"Drama, Ação"
Deixe-o Partir,3.872,6.8,"Crime, Thriller, Faroeste"
Medieval,3.872,6.899,"Drama, História, Ação"
Jogo de Espiões,3.8718,6.908,"Ação, Crime, Thriller"
Fome de Sucesso,3.8713,7.266,Drama
Major Grom Contra o Dr. Peste,3.8712,6.7,"Ação, Aventura"
O Âncora: A Lenda de Ron Burgundy,3.8711,6.7,Comédia
Lady Snowblood: Vingança na Neve,3.8707,7.5,"Ação, Crime, Drama"
Rogai por Nós,3.8703,6.573,"Terror, Mistério"
മീശ,3.8703,10.0,Drama
Entre Dois Amores,3.8702,7.171,"História, Drama, Romance"
Golias,3.8699,6.845,"Drama, Thriller"
White Noise,3.8695,10.0,"Thriller, Terror"
여교수의 은밀한 매력,3.8693,4.2,"Comédia, Romance"
Flamin' Hot: O Sabor que Mudou a História,3.8687,7.958,"História, Drama"
아내를 빌려드립니다,3.8678,1.0,Romance
Stargate - en julefortelling,3.8672,0.0,Família
At Coney Island,3.8671,6.3,Comédia
A Morte num Beijo,3.8655,7.2,"Mistério, Crime, Thriller"
Jornada Pela Liberdade,3.8653,6.899,Drama
Classe de Assassinato: Graduação,3.865,7.2,"Comédia, Ação, Ficção científica"
Tentáculos,3.8649,6.2,"Ficção científica, Terror, Ação, Aventura"
O Duelo,3.8645,5.643,"Comédia, Drama"
A Presença,3.8645,6.535,"Ficção científica, Drama"
Tolerância Zero,3.8643,6.877,Drama
The Irony of Fate,3.8641,0.0,Drama
아들의 아내,3.8639,6.0,"Drama, Romance"
"Ela Dança, Eu Danço 5: Tudo ou Nada",3.8632,6.8,"Romance, Música, Drama"
Gintama: Shinyaku Benizakura-Hen,3.8631,7.4,"Comédia, Ação, Ficção científica, Animação"
Regresso do Mal,3.863,5.375,Terror
The Mother of the Ranch,3.862,0.0,Faroeste
Classe Média,3.8615,7.288,"Comédia, Drama"
Jogos Mortais - O Final,3.8607,5.989,"Crime, Terror"
Filho de Saul,3.8604,7.132,"Drama, Thriller, Guerra"
The Dirt – Confissões do Mötley Crüe,3.8594,7.4,"Drama, Música, Comédia, História"
Чебурашка,3.8588,6.8,"Comédia, Família"
Operação Anthropoid,3.8587,7.142,"Guerra, Thriller, História"
The Battle at Lake Changjin,3.8584,6.159,"Guerra, Drama"
Resident Evil 2: Apocalipse,3.8579,6.359,"Terror, Ação, Ficção científica"
Sunny,3.8579,7.9,"Drama, Comédia"
Jornada nas Estrelas: Primeiro Contato,3.8577,7.3,"Ação, Ficção científica, Aventura, Thriller"
Capitão América,3.8576,4.499,"Guerra, Ficção científica, Ação, Aventura"
Лермонтов,3.8576,0.0,"Drama, História"
A Lenda do Rei Macaco 3: Reino das Mulheres,3.8575,5.7,"Família, Ação, Aventura, Fantasia"
Lado a Lado,3.8574,7.2,"Drama, Romance, Comédia"
Missão Possível,3.8571,7.5,"Comédia, Ação, Thriller"
Sra. Harris Vai a Paris,3.8562,7.292,"Drama, Comédia, História"
"George, o Rei da Floresta 2",3.8559,4.483,"Comédia, Família, Aventura"
Asura: A Cidade da Corrupção,3.8557,6.8,"Crime, Thriller, Ação"
O Soldado que Não Existiu,3.8557,6.517,"Guerra, Drama, História"
Arranha-Céu: Coragem Sem Limite,3.8555,6.32,"Aventura, Ação, Thriller"
Moça com Brinco de Pérola,3.8555,6.622,"Romance, Drama"
Hausu,3.8552,7.334,"Comédia, Terror, Fantasia"
마님,3.8547,0.0,"Drama, Romance"
As Minas do Rei Salomão,3.8543,6.484,"Aventura, Romance, Ação"
Rocky V,3.8541,5.779,Drama
Tudo e Todas as Coisas,3.8538,7.2,"Drama, Romance"
Demônio de Neon,3.853,6.512,"Thriller, Terror"
Fantasmas de Guerra,3.853,6.7,"Ação, Terror, História"
The House,3.8527,7.018,"Animação, Fantasia, Terror, Comédia, Drama"
옆집 사는 가슴 큰 전업주부,3.8519,0.0,Romance
Martin Eden,3.8517,7.0,"Drama, Romance"
Bajirao Mastani,3.8516,7.3,"Drama, História, Romance"
몰래 먹는 맛이 좋아,3.851,0.0,Romance
The Senior,3.8509,9.5,Drama
Toaru Majutsu no Index: Endymion no Kiseki,3.8509,7.0,"Comédia, Ação, Ficção científica, Fantasia, Animação, Música"
O Garoto,3.8507,8.148,"Comédia, Drama"
!W.A.R.: !Women Art Revolution,3.8506,4.4,Documentário
섹스 솔루션,3.8505,0.0,"Romance, Drama"
A Irmandade da Guerra,3.8503,7.986,"História, Ação, Aventura, Guerra, Drama"
Fuga do Planeta dos Macacos,3.85,6.4,"Ficção científica, Ação"
Sol da Meia-noite,3.8497,7.817,"Romance, Drama"
불륜 동창회,3.8496,6.9,"Romance, Drama"
Halloween Kills: O Terror Continua,3.8495,6.435,"Thriller, Terror"
E a Festa Acabou,3.8493,5.1,"Drama, Guerra, Comédia"
Mar Aberto,3.8489,5.546,"Terror, Thriller"
Hurry Up Tomorrow: Além dos Holofotes,3.8486,5.203,"Thriller, Música, Drama"
De to guldgravere,3.8483,4.5,"Drama, Romance, Faroeste"
O Dia do Atentado,3.8482,7.058,"Ação, Crime, Thriller, História, Drama"
Amizades Improváveis,3.8482,7.295,"Drama, Comédia"
17 años juntos,3.8482,6.3,"Comédia, Drama"
Liga da Justiça Sombria,3.8476,7.3,"Terror, Ação, Ficção científica, Animação, Aventura, Fantasia"
Volcano - A Fúria,3.8475,5.9,"Ficção científica, Ação, Thriller, Drama"
Tokyo Ghoul,3.8474,7.087,"Drama, Thriller, Ação"
아내의 교환섹스,3.847,8.0,Romance
Code Geass: Lelouch of the Re;surrection,3.8469,7.229,"Crime, Ficção científica, Mistério, Animação, Guerra"
Paixões em Fúria,3.8467,7.5,"Thriller, Crime"
The Mystery of Emma Thorn,3.8461,0.0,Drama
Ponto de Ebulição,3.846,6.897,"Ação, Crime, Comédia, Drama, Thriller"
Código 46,3.8455,6.202,"Drama, Ficção científica, Thriller"
13: O Musical,3.8444,6.1,"Comédia, Drama, Família"
The Runaways: Garotas do Rock,3.8443,6.456,"Drama, História, Música"
Um Voo Encantado em Noite de Natal,3.8439,5.8,"Drama, Aventura, Fantasia, Animação, Família"
Jasão e o Velo de Ouro,3.8437,7.168,"Aventura, Fantasia, Família"
Massacre no Bairro Chinês,3.8437,6.7,"Drama, Crime, Ação, Thriller"
O Enigma Chinês,3.8428,6.573,"Drama, Comédia, Romance"
Adaptação.,3.8427,7.355,"Crime, Comédia, Drama"
O Mistério das Duas Irmãs,3.8415,6.5,Terror
The Cooler - Quebrando a Banca,3.8413,6.712,"Romance, Drama"
O Magnata Grego,3.8408,5.5,Drama
Hair,3.8407,7.279,"Comédia, Música, Drama"
D.E.B.S. - As Super Espiãs,3.8406,6.468,"Ação, Romance, Comédia"
A Liga Extraordinária,3.8403,5.978,"Ação, Fantasia, Thriller, Ficção científica"
초대받은 배달부 2,3.8403,7.0,Romance
Persuasão,3.8398,7.1,"Romance, Drama"
O Peixe Grande & Begônia,3.8394,7.391,"Aventura, Animação, Fantasia"
O Silêncio dos Inocentes,3.8379,8.347,"Thriller, Crime, Drama"
Heavy Metal do Horror / O Rock do Dia das Bruxas,3.8378,6.058,"Comédia, Terror, Música"
Do Fundo do Mar 3,3.8374,5.563,"Ação, Terror, Ficção científica"
Mestres do Universo,3.837,5.7,"Thriller, Aventura, Fantasia, Ficção científica, Ação"
The Left-Handed Man,3.8368,0.0,Drama
"Quem Não Corre, Voa",3.8366,6.165,"Comédia, Ação, Família"
Les Tuche 4,3.8365,5.1,Comédia
Pai e Filha,3.8364,8.024,Drama
자꾸 나만 먹어,3.8358,4.0,Romance
A Lenda de Bhagat Singh,3.8357,7.0,"Crime, Drama, História"
Horror de Drácula,3.8353,7.273,Terror
Bem-vindo à Selva,3.8353,6.4,"Thriller, Ação, Comédia, Aventura"
애마부인 3,3.835,0.0,"Drama, Romance"
Magic Mike: A Última Dança,3.835,6.454,"Drama, Romance, Comédia"
A Casa da Colina,3.8346,5.6,Terror
Um Visto Para o Céu,3.8344,6.907,"Fantasia, Comédia, Drama, Romance"
사촌여동생,3.8343,7.0,"Drama, Romance"
டூட்,3.834,0.0,"Comédia, Ação, Drama, Romance"
Mulher Infernal,3.834,5.661,"Crime, Romance, Comédia"
O Preço da Traição,3.8338,6.12,"Drama, Mistério, Thriller"
Beijando Jessica Stein,3.8336,6.063,Comédia
The Honor of Thieves,3.8336,1.5,Crime
O Jornal,3.8335,6.6,"Comédia, Drama"
O Atirador,3.8334,6.2,"Drama, Ação, Thriller"
Pedro Coelho,3.8332,6.7,"Família, Animação, Aventura"
Invictus,3.8331,7.182,"História, Drama"
Dreams,3.8328,10.0,"Aventura, Ação"
O Segredo do Vale da Lua,3.8324,6.6,"Romance, Fantasia, Aventura"
Os Donos da Rua,3.8319,7.6,"Drama, Crime"
Tempos de Viver,3.8319,8.07,"Drama, Romance, Guerra"
A Escolhida,3.8316,6.251,Terror
Epidemia,3.8311,6.568,"Drama, Ação, Thriller, Ficção científica"
Uma Carta de Amor,3.8311,6.3,"Romance, Drama"
Cães de Guerra,3.8307,5.8,"Aventura, Thriller, Ação"
타부: 새누나,3.8298,7.5,"Drama, Romance, Thriller"
Любовь-морковь 2,3.8298,4.5,"Comédia, Fantasia"
SMS: Sotto Mentite Spoglie,3.8294,5.0,Comédia
Operação França II,3.8292,6.789,"Crime, Ação, Thriller"
Imagine Eu e Você,3.829,7.577,"Comédia, Drama, Romance"
Velocidade Máxima 2,3.8286,4.6,"Ação, Romance, Thriller, Drama, Aventura"
"Patton, Rebelde ou Herói?",3.8279,7.486,"Drama, História, Guerra"
The O'Neill,3.8266,0.0,"Romance, História, Drama"
A Babá,3.8264,6.2,"Terror, Comédia"
욕망의 독: 중독,3.8259,5.3,"Mistério, Thriller"
Fate/stay night: Heaven's Feel II. Lost Butterfly,3.8254,6.976,"Romance, Animação, Fantasia, Ação, Drama"
V.I.P.,3.825,7.782,"Crime, Thriller, Ação"
The B****di,3.825,10.0,Ação
여대생의 은밀한 불륜,3.8246,0.0,Romance
Waking Life,3.8246,7.471,"Drama, Animação, Fantasia"
Mansão Mal-Assombrada,3.8245,5.686,"Comédia, Família, Mistério, Fantasia, Thriller"
A Fúria de Dragon Lee,3.8243,6.0,Ação
映画ドラえもん のび太の南海大冒険,3.8234,6.557,"Animação, Família"
"E Agora, Meu Amor?",3.8232,6.479,"Drama, Comédia, Romance"
정사: 아내의 친구,3.8229,5.8,Romance
D-War: Guerra dos Dragões,3.8226,4.556,"Ficção científica, Fantasia, Thriller, Ação, Terror, Drama"
Força Aérea Um,3.8219,6.478,"Thriller, Ação"
Cão Que Ladra Não Morde,3.8214,6.796,"Crime, Drama, Comédia"
Lua de Papel,3.8213,7.864,"Drama, Comédia, Crime"
Status Update: Perfil dos Sonhos,3.8208,7.265,"Comédia, Fantasia, Ficção científica"
O Vingador da Noite,3.8205,6.4,"Ação, Ficção científica"
A Dama de Vermelho,3.8203,6.3,"Romance, Comédia"
Lancelot: O Primeiro Cavaleiro,3.8203,6.1,"Ação, Romance, Aventura, Drama"
오장군의 발톱,3.8196,7.0,Guerra
Fogo e Gelo,3.8192,6.683,"Ficção científica, Animação, Fantasia"
A Ressaca 2,3.8191,5.198,Comédia
What's Your Hurry?,3.8188,5.0,Comédia
Pequenas Cartas Obscenas,3.8186,6.947,"Drama, Comédia, Mistério"
飞刀,3.8185,0.0,"Drama, Ação"
Hairspray: Em Busca da Fama,3.8182,6.7,"Romance, Comédia, Drama"
劇場版 BLEACH 地獄篇,3.8172,7.6,"Ação, Fantasia, Aventura, Animação"
섹스 소녀 4,3.8171,4.0,Drama
Autópsia de um Crime,3.8168,5.694,"Thriller, Crime, Terror"
Matinee: Uma Sessão Muito Louca,3.8167,6.658,"Drama, Comédia"
Aviões,3.8165,5.916,"Aventura, Animação, Comédia, Família"
Psychokinesis,3.8165,6.285,"Ação, Fantasia"
Esfera,3.8162,6.122,"Mistério, Ficção científica, Thriller"
Risco Máximo,3.8161,5.8,"Thriller, Ação, Crime"
A Casa Profunda,3.8156,6.008,"Mistério, Terror"
Billy's Insomnia,3.8151,0.0,Comédia
Maldição,3.8148,5.5,"Thriller, Mistério, Terror"
Na Rota do Oriente,3.8144,5.9,"História, Drama, Aventura"
펜트하우스 코끼리,3.8144,5.1,"Romance, Drama"
O Pescador de Ilusões,3.8122,7.3,"Comédia, Drama"
Caçada Selvagem,3.8118,5.6,"Thriller, Ação"
Segundas Intenções 2,3.8117,5.1,Drama
Depois da Tempestade,3.8099,7.201,Drama
"Ichi, o Assassino",3.8096,7.004,"Terror, Ação, Crime"
O Amor é uma Grande Fantasia,3.8096,4.1,"Comédia, Thriller, Crime"
Protetores do Universo,3.8094,5.5,"Fantasia, Ação"
Vampiros do Deserto,3.8092,5.4,"Terror, Thriller"
Terror em Mercy Falls,3.8089,6.6,"Mistério, Thriller, Terror"
Muti: Crime e Poder,3.8088,5.8,"Ação, Drama, Mistério, Thriller"
Fantasia,3.8087,7.35,"Animação, Fantasia, Família"
Fenômeno,3.8087,6.484,"Ficção científica, Romance, Drama, Fantasia"
Elektra,3.8086,5.0,"Fantasia, Aventura, Ação"
동서의 손맛,3.8083,3.0,Drama
Iceman: A Roda do Tempo,3.8077,5.526,"Fantasia, Aventura, Comédia, Ação, Ficção científica"
Fenômenos Paranormais,3.8063,6.31,"Terror, Thriller"
순정만화,3.8062,6.894,"Drama, Comédia"
Guerreiros do Céu e da Terra,3.806,6.2,"Drama, Aventura, Ação"
龍在江湖,3.8054,6.7,"Crime, Thriller, Romance, Ação"
Dublê de Príncipe,3.8053,5.4,"Ação, Romance, Drama"
கங்குவா,3.8046,3.9,"Ação, Fantasia, Thriller"
Vovó... Zona,3.8044,5.8,"Comédia, Crime"
O Aventureiro do Pacífico,3.8044,6.2,"Romance, Aventura, Comédia"
Doraemon: Nobita e A Lenda das Sereias,3.8043,6.862,"Família, Aventura, Animação, Fantasia"
The Diplomat,3.8043,6.8,"Thriller, Drama"
不思議の国でアリスと –Dive in Wonderland–,3.8043,0.0,"Animação, Aventura, Fantasia"
Street Fighter: A Última Batalha,3.8031,4.7,"Ação, Comédia, Aventura, Thriller"
O Pequeno Stuart Little 2,3.803,5.8,"Família, Comédia, Aventura"
O Mistério das Garotas Perdidas,3.8025,6.807,"Crime, Thriller, Mistério, Terror"
Pornô: Sedutora e Fatal,3.8025,6.025,"Comédia, Terror"
Дядюшкина квартира,3.8024,5.2,Comédia
PITFALL,3.8022,10.0,"Drama, Guerra"
사생결단,3.8018,0.0,Ação
O Mar de Árvores,3.8015,6.209,Drama
여대생 출장안마,3.8014,4.0,Drama
A Guerra de Hart,3.8012,6.393,"Guerra, Drama"
Onde o Amor Está,3.8012,6.151,"Romance, Música, Drama"
Trinity Ainda é Meu Nome,3.8005,7.431,"Comédia, Faroeste"
Heróis de Fogo,3.7999,8.0,"Drama, Ação"
Mere Brother Ki Dulhan,3.7998,5.9,"Comédia, Romance, Drama"
Downfall,3.7997,6.5,"Drama, Mistério"
Terra Violenta,3.7995,6.101,"Faroeste, Ação"
O Jantar dos Malas,3.7995,7.765,Comédia
Love,3.7992,6.448,"Drama, Romance"
Dragon Ball Z: O Retorno de Cooler,3.7991,6.443,"Animação, Ficção científica, Ação"
Em Guerra com o Vovô,3.7989,6.435,"Comédia, Família"
Heidi,3.7986,7.214,"Aventura, Drama, Família"
Super-Herói: O Filme,3.7986,5.282,"Comédia, Ficção científica, Ação"
O Juiz,3.7985,5.844,"Ação, Ficção científica"
یکی میخواد باهات حرف بزنه,3.7982,8.0,Drama
Em Nome da Lei,3.798,6.2,"Crime, Ação, Drama"
Uma Questão de Classe,3.798,5.995,"Comédia, Drama"
"Noivo Neurótico, Noiva Nervosa",3.7975,7.736,"Comédia, Drama, Romance"
O Inferno de Gabriel - Parte 3,3.7972,8.367,"Drama, Romance"
Robôs Assassinos,3.797,5.8,"Ficção científica, Terror"
Slender Man: Pesadelo Sem Rosto,3.797,4.293,"Mistério, Thriller, Terror"
Attempted Murder,3.7969,10.0,"Terror, Comédia"
As Mil Palavras,3.7968,6.104,"Drama, Comédia, Fantasia"
Pieta,3.7966,7.077,Drama
맛좋을 때 : 화양연화,3.7956,9.0,Romance
Heróis Muito Loucos,3.7953,5.82,"Ação, Fantasia, Aventura, Ficção científica, Comédia"
Belfast,3.7951,7.06,"Drama, História"
The Haymarket,3.7946,5.0,"Drama, Comédia"
Pássaro do Oriente,3.7944,5.9,"Romance, Thriller, Drama, Mistério"
오대 제자,3.7943,4.8,Ação
O Vigia,3.7942,6.666,"Thriller, Drama, Crime"
Eu Sou a Fúria,3.7938,5.7,"Ação, Crime, Thriller, Drama"
정사: 위험한 성적유희,3.7933,6.0,"Romance, Drama"
Der Tiger,3.793,6.167,"Drama, Guerra, Ação"
As Aventuras de Paddington 2,3.7924,7.47,"Família, Aventura, Comédia"
Busca Sem Limites,3.7922,5.6,"Ação, Thriller"
Toda Forma de Amor,3.7892,6.845,"Comédia, Romance, Drama"
Coincidência,3.7891,6.9,"Crime, Mistério, Thriller"
A Lenda de Hei,3.789,8.33,"Animação, Fantasia, Ação"
Nunca diga adeus,3.789,6.4,"Romance, Drama"
684: Unidade de Combate,3.7886,7.1,"Drama, Ação"
满江红,3.788,5.906,"Thriller, Comédia, História, Mistério"
O Filho do Rambow,3.7878,6.713,Comédia
Wolf Creek: Viagem ao Inferno,3.7878,6.235,"Thriller, Terror"
Battle of Jangsari,3.7871,6.8,"Drama, Guerra, História"
마인,3.7865,0.0,Mistério
Feitiço do Coração,3.7862,6.6,"Romance, Comédia"
Amar te duele,3.786,8.006,"Romance, Drama"
Mortal Kombat Legends: A Vingança de Scorpion,3.7858,8.091,"Ação, Animação, Fantasia"
O Mundo Da Perseguição,3.7857,6.516,"Drama, Terror, Ficção científica, Mistério, Thriller, Fantasia, Ação"
A Onda,3.7855,7.488,"Thriller, Drama"
Detenção,3.7854,6.388,"Thriller, Drama"
10 Regras Para Um Relacionamento Aberto,3.7853,3.6,"Comédia, Romance"
O Inferno de Gabriel,3.7848,8.407,"Drama, Romance"
映画ドラえもん のび太のドラビアンナイト,3.7846,7.1,"Aventura, Fantasia, Animação, Família"
2022 Rock & Roll Hall of Fame Induction Ceremony,3.7842,8.2,"Documentário, Música"
Cinderela Pop,3.7841,6.442,"Romance, Comédia"
As Faces do Demônio,3.7838,7.1,"Thriller, Terror"
Os Pinguins do Papai,3.7838,5.974,"Comédia, Família"
Les enfants de la pluie,3.7836,7.2,"Aventura, Animação"
Leroy & Stitch,3.7831,6.5,"Família, Animação, Comédia"
Три богатыря и наследница престола,3.7828,6.667,"Família, Animação"
Mountain of Miracle,3.7827,10.0,Comédia
Crimes em Primeiro Grau,3.7827,6.4,"Drama, Thriller, Crime, Mistério"
Operação Final,3.7822,6.7,"Drama, Thriller, História"
Promare,3.7822,7.1,"Ação, Animação, Ficção científica"
음란한 여대생들,3.7821,5.5,"Romance, Drama"
O Guerreiro Rei,3.7821,4.6,"Aventura, História, Ação"
As Neves do Kilimandjaro,3.7819,6.699,Drama
Top Secret! Superconfidencial,3.7818,7.091,Comédia
Neste Mundo e no Outro,3.7817,7.75,"Fantasia, Drama, Romance, Comédia"
Fate/stay night: Heaven's Feel I. Presage Flower,3.7811,7.463,"Drama, Animação, Fantasia, Romance, Ação"
Super-Heróis: A Liga da Injustiça,3.7806,3.197,"Comédia, Ficção científica"
To the Fore,3.7805,6.486,"Ação, Drama, Romance"
Guerra é Guerra!,3.7804,6.184,"Ação, Comédia, Romance"
Bubble,3.7803,7.348,"Ficção científica, Aventura, Animação, Fantasia"
बेटर-हाफ ची लव्हस्टोरी,3.78,0.0,"Romance, Drama, Comédia"
Caminhando com Dinossauros,3.7796,6.2,"Família, Animação, Aventura"
Para Todos os Garotos: P.S. Ainda Amo Você,3.779,6.8,"Comédia, Romance"
Redenção,3.7787,6.185,"Thriller, Ação"
Orlando - A Mulher Imortal,3.7782,6.9,"Fantasia, Drama"
Coma,3.7775,6.756,"Mistério, Thriller, Terror"
A Reconquista,3.7773,3.295,"Ação, Aventura, Ficção científica"
Kingdom II: Far and Away,3.7772,7.2,"Ação, Aventura, Guerra"
तेवर,3.7771,5.1,"Drama, Ação, Thriller"
비단꽃길,3.7769,5.0,Documentário
Quo Vadis,3.7767,7.1,"Drama, História, Romance"
Fatal Detour,3.7765,0.0,"Terror, Thriller"
Chantecler – O Rei do Rock,3.7764,6.193,"Animação, Fantasia, Comédia, Família, Música"
맛있는 섹스 그리고 여군,3.7761,4.0,"Romance, Drama"
Escobar: A Traição,3.776,6.295,"Crime, Drama"
Nem um Passo em Falso,3.7757,6.391,"Thriller, Crime"
Viagem Fantástica,3.7755,6.7,"Aventura, Ficção científica"
Queda Livre,3.7753,7.7,"Romance, Drama"
Pieces of a Woman,3.7752,7.027,Drama
"2ndスタァライブ メイキング映像「Documentary of ""Starry Desert""」",3.7752,0.0,"Documentário, Música"
승진의 기술,3.7749,3.5,"Drama, Romance"
Lembranças,3.7745,7.111,"Drama, Romance"
Mudança de Hábito 2 - Mais Loucuras no Convento,3.7739,6.4,"Música, Comédia"
出走的决心,3.7736,7.9,"Família, Drama"
First Light,3.7735,0.0,Drama
A Bela da Tarde,3.7734,7.321,"Romance, Drama"
O Furioso,3.7734,6.1,"Ação, Aventura, Fantasia"
Darkman: Vingança Sem Rosto,3.7733,6.4,"Ação, Ficção científica, Thriller"
Monolith,3.7731,5.3,"Drama, Thriller"
A Montanha Enfeitiçada,3.7727,6.4,"Aventura, Fantasia, Ficção científica, Família"
유혹,3.7724,3.3,Romance
평평남녀,3.7722,0.0,"Thriller, Drama, Mistério, Terror"
Meu Nome é Khan,3.7721,8.033,"Romance, Drama"
Rebeldes e Heróis,3.7716,6.5,"Aventura, Thriller, Ação"
Ninja 2: A Vingança,3.7716,6.6,"Ação, Thriller, Crime"
"Kull, o Conquistador",3.771,5.1,"Fantasia, Aventura, Ação"
Tio Drew,3.7705,6.662,Comédia
Possuídos,3.7704,6.779,"Drama, Crime, Thriller"
특별수사본부 여대생 이난희사건,3.7697,0.0,"Drama, Crime"
A.C.A.B. - All Cops Are Bastards,3.7697,7.0,"Drama, Ação, Crime"
映画ドラえもん のび太の地球交響楽,3.7696,6.741,"Drama, Comédia, Família, Animação, Fantasia, Aventura"
'Robin Hood: Men in Tights' – The Legend Had It Coming,3.7689,6.0,"Comédia, Documentário"
Fama,3.7687,6.434,"Música, Drama"
Caçado,3.7683,6.157,"Drama, Crime, Ação, Thriller"
Monstrum,3.7683,6.474,"Drama, Ação, Terror, Fantasia"
O Imperador,3.7669,5.138,"Ação, Aventura"
The Modern Prodigal,3.7667,5.2,Drama
Ovosodo,3.7666,7.2,"Comédia, Drama"
Lucifer,3.7665,7.0,"Ação, Drama, Thriller"
第六の容疑者,3.7665,0.0,Crime
Seres Rastejantes,3.7656,6.535,"Comédia, Terror, Ficção científica"
ครัวสาว,3.7649,0.0,"Drama, Thriller"
Perfeição,3.7648,5.6,"Romance, Drama"
Querido Papai Noel,3.7646,6.235,"Comédia, Fantasia"
Conduta de Risco,3.7636,6.788,"Thriller, Crime, Drama"
O Pai da Noiva II,3.7635,6.26,"Família, Comédia"
자매전쟁,3.7631,5.5,"Drama, Romance"
Memória de um Assassino,3.7618,7.4,"Crime, Thriller, Mistério"
Digimon Adventure: Our War Game,3.7613,8.0,"Animação, Aventura, Ficção científica, Ação"
O Poderoso Quinn,3.7612,6.1,"Thriller, Ação, Crime, Mistério, Drama"
O Pestinha 2,3.761,5.885,"Família, Comédia"
蟲,3.761,0.0,"Drama, Romance"
Tetsuo: O Homem de Ferro,3.7606,6.986,"Ficção científica, Terror"
Vingança,3.7604,6.507,"Thriller, Drama, Romance"
A Espada Sem Sombra,3.7602,6.231,"Aventura, Ação"
Holidays,3.7597,5.0,"Terror, Comédia, Fantasia, Mistério"
O Mágico Inesquecível,3.7592,6.0,"Música, Aventura, Fantasia"
진짜 진짜 좋아해,3.7587,7.0,"Romance, Drama"
Chamas da Vingança,3.7585,6.262,"Ficção científica, Thriller, Terror"
Nefarious,3.7584,6.762,"Drama, Terror"
1928: The Year the Thames Flooded,3.7584,0.0,"História, Documentário"
觸電,3.7573,3.0,"Família, Ação"
Jogos Mortais: Jigsaw,3.7573,6.217,"Mistério, Terror"
Angélique et le Roy,3.7567,6.5,"História, Romance, Aventura"
Um Jantar para Idiotas,3.7562,5.72,Comédia
人生大事,3.7562,7.33,Drama
Cão Danado,3.7558,7.535,"Thriller, Crime, Drama"
Uma Janela Suspeita,3.7556,6.3,"Drama, Thriller"
Não Desligue,3.7552,6.253,"Thriller, Terror"
宇宙探索编辑部,3.7549,7.3,"Drama, Comédia, Aventura, Ficção científica"
O Filho do Rei,3.7549,6.929,"História, Drama, Ação"
Ibiza: Tudo pelo DJ,3.7547,5.715,"Romance, Comédia"
Cavalgada dos Proscritos,3.7547,6.659,"Crime, Drama, Ação, História, Faroeste"
Buffalo 66,3.7546,7.127,"Comédia, Drama, Romance"
Duas Rainhas,3.7546,6.555,"História, Drama"
Jimmy Neutron: O Menino Gênio,3.7542,6.051,"Família, Animação, Aventura, Comédia, Ficção científica"
Os 33,3.7541,6.397,"Drama, História"
Círculo de Paixões,3.754,6.309,"Drama, Romance"
La Bataille d'Hernani,3.7535,10.0,"História, Cinema TV"
